"","site_id","year","month","day","variable","value"
"7206","i36",1909,12,1,"cru_324_frs",31
"7273","i36",1910,1,1,"cru_324_frs",31
"7340","i36",1910,2,1,"cru_324_frs",28
"7407","i36",1910,3,1,"cru_324_frs",31
"7474","i36",1910,4,1,"cru_324_frs",30
"7541","i36",1910,5,1,"cru_324_frs",29.18
"7608","i36",1910,6,1,"cru_324_frs",12.19
"7675","i36",1910,7,1,"cru_324_frs",4.64
"7742","i36",1910,8,1,"cru_324_frs",12.86
"7809","i36",1910,9,1,"cru_324_frs",22.57
"7876","i36",1910,10,1,"cru_324_frs",30.99
"7943","i36",1910,11,1,"cru_324_frs",30
"8010","i36",1910,12,1,"cru_324_frs",31
"8077","i36",1911,1,1,"cru_324_frs",31
"8144","i36",1911,2,1,"cru_324_frs",28
"8211","i36",1911,3,1,"cru_324_frs",31
"8278","i36",1911,4,1,"cru_324_frs",30
"8345","i36",1911,5,1,"cru_324_frs",28.4
"8412","i36",1911,6,1,"cru_324_frs",12.19
"8479","i36",1911,7,1,"cru_324_frs",5.64
"8546","i36",1911,8,1,"cru_324_frs",12.33
"8613","i36",1911,9,1,"cru_324_frs",23.59
"8680","i36",1911,10,1,"cru_324_frs",30.76
"8747","i36",1911,11,1,"cru_324_frs",30
"8814","i36",1911,12,1,"cru_324_frs",31
"8881","i36",1912,1,1,"cru_324_frs",31
"8948","i36",1912,2,1,"cru_324_frs",29
"9015","i36",1912,3,1,"cru_324_frs",31
"9082","i36",1912,4,1,"cru_324_frs",30
"9149","i36",1912,5,1,"cru_324_frs",28.4
"9216","i36",1912,6,1,"cru_324_frs",14.76
"9283","i36",1912,7,1,"cru_324_frs",6.27
"9350","i36",1912,8,1,"cru_324_frs",11.81
"9417","i36",1912,9,1,"cru_324_frs",22.92
"9484","i36",1912,10,1,"cru_324_frs",30.8
"9551","i36",1912,11,1,"cru_324_frs",30
"9618","i36",1912,12,1,"cru_324_frs",31
"9685","i36",1913,1,1,"cru_324_frs",31
"9752","i36",1913,2,1,"cru_324_frs",28
"9819","i36",1913,3,1,"cru_324_frs",31
"9886","i36",1913,4,1,"cru_324_frs",30
"9953","i36",1913,5,1,"cru_324_frs",29.37
"10020","i36",1913,6,1,"cru_324_frs",12.7
"10087","i36",1913,7,1,"cru_324_frs",6.06
"10154","i36",1913,8,1,"cru_324_frs",11.81
"10221","i36",1913,9,1,"cru_324_frs",23.48
"10288","i36",1913,10,1,"cru_324_frs",31
"10355","i36",1913,11,1,"cru_324_frs",30
"10422","i36",1913,12,1,"cru_324_frs",31
"10489","i36",1914,1,1,"cru_324_frs",31
"10556","i36",1914,2,1,"cru_324_frs",28
"10623","i36",1914,3,1,"cru_324_frs",31
"10690","i36",1914,4,1,"cru_324_frs",30
"10757","i36",1914,5,1,"cru_324_frs",28.98
"10824","i36",1914,6,1,"cru_324_frs",12.19
"10891","i36",1914,7,1,"cru_324_frs",7.38
"10958","i36",1914,8,1,"cru_324_frs",9.28
"11025","i36",1914,9,1,"cru_324_frs",23.8
"11092","i36",1914,10,1,"cru_324_frs",30.52
"11159","i36",1914,11,1,"cru_324_frs",30
"11226","i36",1914,12,1,"cru_324_frs",31
"11293","i36",1915,1,1,"cru_324_frs",31
"11360","i36",1915,2,1,"cru_324_frs",28
"11427","i36",1915,3,1,"cru_324_frs",31
"11494","i36",1915,4,1,"cru_324_frs",30
"11561","i36",1915,5,1,"cru_324_frs",28.63
"11628","i36",1915,6,1,"cru_324_frs",10.68
"11695","i36",1915,7,1,"cru_324_frs",3.56
"11762","i36",1915,8,1,"cru_324_frs",8.79
