"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"61","nameXXXLUZSP:QHI ",1.70247446752716,-1.28007533498385,4.55955654091667,8835.90513164012,0.26,"fixed"
"62","nameXXXotheraster:QHI ",0.0198315312870039,-2.79903290892071,3.02782277289953,8426.3988965134,0.99225,"fixed"
"63","nameXXXotherfungus ",-0.0191387323405533,-3.01972842059331,2.80612936698526,8483.06390398115,0.99575,"fixed"
"64","nameXXXothergram ",0.607740341760622,-2.48256991497692,3.45038481747997,8000,0.6765,"fixed"
"65","nameXXXotherherb:QHI ",1.19567366887633,-1.79318647808395,4.12980381693342,8265.02480643196,0.42,"fixed"
"66","nameXXXotherlichen:QHI ",5.46833579360474,2.54856866880436,8.37792323494796,7999.99999999999,0.000125,"fixed"
"67","nameXXXothermoss ",23.3070369062398,20.4049210380763,26.2405316397635,7967.3351618681,0.000125,"fixed"
"68","nameXXXpeltigera:QHI ",1.89662876988772,-1.02308253086449,4.76728052916587,6459.29723478357,0.20575,"fixed"
"69","nameXXXrock ",-0.0545248288634861,-3.14155674267386,2.69463589416409,7999.99999999997,0.96,"fixed"
"70","nameXxxspider",-0.04472207884805,-2.94160677212494,2.89151066172053,8000,0.9925,"fixed"
"71","nameXXXspider",0.0069035338132507,-2.92849473711976,2.93842229604888,7999.99999999998,0.993,"fixed"
"72","nameXXXstandingwater ",-0.129129761237123,-3.04020444795606,2.86874467039888,7999.99999999998,0.93025,"fixed"
"73","nameXXXunkwoody ",-0.0125452321637281,-2.98865015158344,2.82126419417909,8000.00000000001,0.99325,"fixed"
"74","I(year - 1998):nameAlopecurus alpinus",-0.0256317085581106,-0.29048856406007,0.248423359706067,7999.99999999996,0.85125,"fixed"
"75","I(year - 1998):nameArctagrostis latifolia",0.669302858025222,0.409149002058257,0.949501890376268,7999.99999999997,0.000125,"fixed"
"76","I(year - 1998):nameAstragalus umbellatus",-0.0172876367448399,-0.28649434223189,0.255960484908428,7999.99999999998,0.89775,"fixed"
"77","I(year - 1998):nameCardamine bellidifolia",-0.0196741079617981,-0.300379724722006,0.247100021733786,8000.00000000002,0.88575,"fixed"
"78","I(year - 1998):nameCardamine digitalis",0.0510405261648229,-0.217263859907689,0.322678391057707,7999.99999999999,0.71,"fixed"
"79","I(year - 1998):nameCarex sp.",0.366187414723814,0.0899288970103953,0.635465031635249,7999.99999999998,0.00849999999999995,"fixed"
"80","I(year - 1998):nameCassiope tetragona",-0.0463178986414671,-0.305918108904734,0.238762188761029,8000,0.73675,"fixed"
"81","I(year - 1998):nameCetraria cucculata",-0.257243745443217,-0.534087160267518,0.00683410901547177,8261.5220012775,0.06125,"fixed"
"82","I(year - 1998):nameCetraria islandica",-0.177088728494972,-0.448716940176382,0.0877531899677706,7999.99999999999,0.1955,"fixed"
"83","I(year - 1998):nameCetraria nivalis",-0.0222474752831326,-0.29571868282801,0.243057239393238,7999.99999999999,0.86375,"fixed"
"84","I(year - 1998):nameCladina (brown)",-0.0258897900499073,-0.294097584608608,0.247961794011644,7999.99999999996,0.85625,"fixed"
"85","I(year - 1998):nameCladina mitis",-0.0139467161330233,-0.2652122231666,0.271302086188371,8290.35523793763,0.914,"fixed"
"86","I(year - 1998):nameDactylina arctica",-0.0571338374800449,-0.331853197829332,0.212871971132699,8239.9996703474,0.673,"fixed"
"87","I(year - 1998):nameDryas integrifolia",-0.0504824789998759,-0.327414402769136,0.211734598531621,8000.00000000002,0.70875,"fixed"
"88","I(year - 1998):nameEriophorum angustifolium",0.17228072329898,-0.0864425078016211,0.450733103272796,7999.99999999999,0.21775,"fixed"
"89","I(year - 1998):nameEriophorum vaginatum",1.68737135083938,1.40668138404726,1.9512801009696,7999.99999999999,0.000125,"fixed"
"90","I(year - 1998):nameFestuca baffinensis",0.0411367452628624,-0.235601979104104,0.31046080874512,8000.00000000002,0.77025,"fixed"
"91","I(year - 1998):nameHierochloe alpine",-0.0307466521989677,-0.307998983131256,0.229738465452101,8000.00000000002,0.82375,"fixed"
"92","I(year - 1998):nameKobresia myosuroides",0.00450231376837394,-0.266254332142125,0.268874760513427,8000.00000000004,0.97725,"fixed"
"93","I(year - 1998):nameKobresia sibirica",-0.0190950027890515,-0.275654826371465,0.254098972451175,7999.99999999998,0.88575,"fixed"
"94","I(year - 1998):nameLagotis glauca",-0.00756639776437168,-0.286504148491076,0.262681602311204,8000.00000000001,0.9545,"fixed"
"95","I(year - 1998):nameLupinus arcticus",-0.0547007836557758,-0.321842228426249,0.229245123380679,7999.99999999998,0.68475,"fixed"
"96","I(year - 1998):nameLuzula arctica",0.0900559355638793,-0.173028356221039,0.368169583944109,8000.00000000003,0.53175,"fixed"
"97","I(year - 1998):nameOxytropis ",-0.0254543278727603,-0.300127276321291,0.245032826147508,8518.07964728566,0.84325,"fixed"
"98","I(year - 1998):nameOxytropis campestris",-0.0260321204876039,-0.297158198285615,0.243343377297606,7888.34144911566,0.84025,"fixed"
"99","I(year - 1998):nameOxytropis maydelliana",-0.0251104839473424,-0.293704161529604,0.254139779048273,8000,0.859,"fixed"
"100","I(year - 1998):nameOxytropis nigrescens",-0.0244032242461376,-0.303804222377948,0.239217125919822,8000,0.85325,"fixed"
"101","I(year - 1998):namePapaver radicatum",-0.023668930954356,-0.300526670980616,0.239499651623191,7697.47483323338,0.84925,"fixed"
"102","I(year - 1998):nameParrya nudicaulis",-0.0254377262987438,-0.293499300518306,0.249959510547342,7999.99999999999,0.853,"fixed"
"103","I(year - 1998):namePedicularis ",-0.0259048862652796,-0.30670480497065,0.235184839397334,7999.99999999999,0.84975,"fixed"
"104","I(year - 1998):namePedicularis capitata",0.000319975247515263,-0.256209078710526,0.280267304187873,8000.00000000002,0.997,"fixed"
"105","I(year - 1998):namePedicularis lanata",-0.0614701288995533,-0.328548553487053,0.211525957976676,8265.33124268496,0.658,"fixed"
"106","I(year - 1998):namePedicularis sudetica",-0.0350823746437883,-0.307006177856238,0.237463405203016,7999.99999999999,0.79075,"fixed"
"107","I(year - 1998):namePedicularis vertisilata",-0.0207986698455626,-0.293098688227474,0.251804728293791,8000.00000000001,0.87075,"fixed"
"108","I(year - 1998):namePoa alpina",-0.023709309198906,-0.29857722061206,0.24349864708347,7999.99999999998,0.8605,"fixed"
"109","I(year - 1998):namePoa arctica",0.469512886192916,0.203381822851952,0.749210332625807,8541.45373942276,0.000499999999999945,"fixed"
"110","I(year - 1998):namePolygonum bistorta",0.124729569478891,-0.132408478762954,0.400009982302436,8000,0.3745,"fixed"
"111","I(year - 1998):namePolygonum viviparum",-0.0255696636589105,-0.306175893027103,0.235938102501677,8000.00000000001,0.85575,"fixed"
"112","I(year - 1998):namePyrola grandiflora",-0.029371665310886,-0.298084797992487,0.235619843522727,7348.40699429392,0.84225,"fixed"
"113","I(year - 1998):nameSalix arctica",-0.0446493401687255,-0.312665898698469,0.220863177150022,7966.28962041076,0.74675,"fixed"
"114","I(year - 1998):nameSalix phlebophylla",0.0153325008591233,-0.256558301116456,0.283462218620116,7999.99999999999,0.907,"fixed"
"115","I(year - 1998):nameSalix pulchra",0.944112810699723,0.668208685931859,1.20904977821556,8000,0.000125,"fixed"
"116","I(year - 1998):nameSalix reticulata",0.167488308238611,-0.10442383933696,0.42743959868676,8000,0.223,"fixed"
"117","I(year - 1998):nameSaussurea angustifolia",-0.0244733719091454,-0.28429152656463,0.25180668484245,7999.99999999997,0.85625,"fixed"
"118","I(year - 1998):nameSaxifraga nelsoniana",-0.00766069612368633,-0.268862616669139,0.275385912216734,7999.99999999999,0.96225,"fixed"
"119","I(year - 1998):nameSenecio atropurpureus",-0.0640597590135143,-0.324600902211387,0.209906479823985,7999.99999999999,0.63725,"fixed"
"120","I(year - 1998):nameStellaria longipes",0.0794350264619954,-0.195402051409474,0.347415258438559,8000,0.56525,"fixed"
"121","I(year - 1998):nameThamnolia subuliformis",-0.195101148013287,-0.464568159564806,0.0794457695737947,8000,0.158,"fixed"
"122","I(year - 1998):nameValeriana capitata",-0.0197975958799725,-0.283983220950176,0.261935443311813,7372.84278885703,0.8805,"fixed"
"123","I(year - 1998):nameXXXbareground ",-0.207324092537467,-0.486185189198295,0.0583032240974717,7999.99999999999,0.14225,"fixed"
"124","I(year - 1998):nameXXXcetraria:QHI ",-0.0254624536545239,-0.290390069363639,0.244043703853094,8218.51170542068,0.842,"fixed"
"125","I(year - 1998):nameXXXcladonia:QHI ",-0.0505460050400599,-0.323649216416015,0.219242498085805,8000.00000000003,0.7065,"fixed"
"126","I(year - 1998):nameXXXcrustous:QHI ",-0.0647098645355392,-0.328856873718905,0.209065478120465,8000.00000000001,0.63875,"fixed"
"127","I(year - 1998):nameXXXfeces ",-0.0129026588164244,-0.277748758395319,0.254192106614937,7999.99999999997,0.922,"fixed"
